PID,barcode,proname,uom,Category,Packing,Packingqty,Type,Comp Name,Pur Price,Sale Price
2126,,Slaim Small 1 pcs,,,,,,Tariq Super Stot,13.33,20.00
1678,,Slanty Kolson Rs 50,,,,,,Tariq Super Stot,45.00,50.00
2023,,Slice Mango 250 ml,,,,,,Tariq Super Stot,22.91,30.00
331,,Smart Care Baby Diapers,,,,,,Tariq Super Stot,860.00,950.00
1864,,Snacker RS 50,,,,,,Tariq Super Stot,45.80,50.00
947,,Snow Spray,,,,,,Tariq Super Stot,95.00,120.00
1923,,Snow Spray large,,,,,,Tariq Super Stot,85.00,140.00
1158,,Soft Clear,,,,,,Tariq Super Stot,45.00,60.00
1676,,Solero Mango Walls,,,,,,Tariq Super Stot,24.90,30.00
2031,,Sonet choclate Canyland rs 10,,,,,,Tariq Super Stot,8.33,10.00
982,,Sooper Half roll single,,,,,,Tariq Super Stot,27.50,30.00
1951,,Sooper Rs 20,,,,,,Tariq Super Stot,18.54,20.00
2200,,Sooper Rs 25,,,,,,Tariq Super Stot,22.70,25.00
2201,,Sooper Rs 40,,,,,,Tariq Super Stot,36.56,40.00
1240,,Sooper Soft Cake 30,,,,,,Tariq Super Stot,26.65,30.00
983,,Sooper Ticky pack,,,,,,Tariq Super Stot,9.00,10.00
89737,,Soy Sauce 750 ml,,,,,,Tariq Super Stot,230.00,300.00
1909,,Soya Supreme 1 Ltr,,,,,,Tariq Super Stot,552.00,560.00
1706,,Soya Supreme 5 Ltr,,,,,,Tariq Super Stot,"2,700.00","3,150.00"
912,,Sp 10,,,,,,Tariq Super Stot,47.00,60.00
211,,Special Toilet Roll,,,,,,Tariq Super Stot,52.55,55.00
1769,,Spout Rs 5,,,,,,Tariq Super Stot,4.45,5.00
1787,,Spring Rool Menu 320 G,,,,,,Tariq Super Stot,447.00,550.00
931,,Staper Medium,,,,,,Tariq Super Stot,140.00,160.00
932,,Stapler Large Chanyi,,,,,,Tariq Super Stot,270.00,300.00
1092,,Stapler Pins,,,,,,Tariq Super Stot,24.00,30.00
918,,Stapler Small,,,,,,Tariq Super Stot,150.00,170.00
964,,Stationery pouch,,,,,,Tariq Super Stot,25.00,50.00
1323,,Stationery Pouch Jaly,,,,,,Tariq Super Stot,31.70,40.00
1223,,Stationery Pouch Large,,,,,,Tariq Super Stot,100.00,120.00
1129,,Steel Scale 6 Inch,,,,,,Tariq Super Stot,32.00,40.00
1398,,Steel scourer  Large,,,,,,Tariq Super Stot,40.00,50.00
1399,,Steel scourer samall,,,,,,Tariq Super Stot,22.00,30.00
922,,Sticke Notes Cut Colour,,,,,,Tariq Super Stot,60.00,90.00
1096,,Sticke Notes Memo Heart,,,,,,Tariq Super Stot,75.00,90.00
1097,,Sticke Notes Memo Plain,,,,,,Tariq Super Stot,63.33,90.00
920,,Sticker Large,,,,,,Tariq Super Stot,36.00,60.00
1114,,Sticker Mix Frui,,,,,,Tariq Super Stot,7.50,30.00
1575,,Sticker Small Rs 20,,,,,,Tariq Super Stot,8.00,20.00
1735,,Stillmans Cream small,,,,,,Tariq Super Stot,140.00,170.00
1734,,Stillmans Fairness Cream,,,,,,Tariq Super Stot,225.00,250.00
1655,,Sting 300 Ml,,,,,,Tariq Super Stot,56.70,70.00
855,,Sting 500ml,,,,,,Tariq Super Stot,85.85,100.00
846,,Sting Teen Packs,,,,,,Tariq Super Stot,73.34,90.00
1642,,Sucral tablet 100,,,,,,Tariq Super Stot,136.50,160.00
1644,,Sucral tablet 100 g,,,,,,Tariq Super Stot,296.00,325.00
1645,,Sucral tablet 50,,,,,,Tariq Super Stot,76.87,90.00
1643,,Sucral tablet 50 pack,,,,,,Tariq Super Stot,200.00,220.00
1712,,Sufaid Mirch Sabit 50 G,,,,,,Tariq Super Stot,100.00,120.00
1064,,Sufi Soap 1 KG,,,,,,Tariq Super Stot,385.00,430.00
802,,Sugar 1 kg,,,,,,Tariq Super Stot,146.00,160.00
803,,Sugar 2 kg,,,,,,Tariq Super Stot,292.00,320.00
804,,Sugar 3 kg,,,,,,Tariq Super Stot,240.00,270.00
800,,Sugar 500g,,,,,,Tariq Super Stot,40.00,45.00
963,,Suji 1 kg,,,,,,Tariq Super Stot,70.00,100.00
1710,,Suji 250 G,,,,,,Tariq Super Stot,26.50,50.00
962,,suji 500 g,,,,,,Tariq Super Stot,52.50,100.00
1689,,Sultan Sarson Oil 1000 Ml,,,,,,Tariq Super Stot,548.33,580.00
1709,,Sun Dip Hot Chilli Sauce 270 Ml,,,,,,Tariq Super Stot,130.00,150.00
1723,,Sundip Lemon Squash 800 ml,,,,,,Tariq Super Stot,275.70,300.00
1995,,Sunlight 1000gm,,,,,,Tariq Super Stot,283.00,300.00
1275,,Sunlight 500 G,,,,,,Tariq Super Stot,47.33,50.00
